Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,1,-0.48810461610079564,1,0,-0.8630144396035192,2
1,1,0,0.6187782928521901,1,0,2.5171430455820283,0
1,3,1,-0.21138388886254922,0,0,-0.8276449953574733,2
1,1,0,0.4112377474235052,1,0,1.557416931562455,2
0,3,0,0.4112377474235052,1,0,-0.8207822673694345,2
0,3,1,2.457773782167351e-16,0,0,-0.7991382790994661,1
1,1,1,1.7256612018051758,0,0,1.4919570645996239,2
0,3,1,-1.8717082522920279,3,1,-0.13345366425970748,2
1,3,0,-0.1422037070529876,0,2,-0.6581884042682088,2
1,2,0,-1.0415460705772885,1,0,0.3416582733737444,0
0,3,0,-1.7333478886729046,1,1,-0.36414690508839476,2
1,1,0,2.0023819290434224,0,0,0.15583671554377213,2
1,1,1,2.457773782167351e-16,0,0,-0.559470701671036,2
0,3,1,0.6879584746617516,0,0,-0.8207822673694345,2
0,3,1,0.13451702018525882,0,0,-0.8366193319572163,1
1,2,1,-1.5258073432442198,4,2,0.29150756884576895,2
1,1,0,1.1030395655191214,0,1,0.6283091424125936,2
0,3,1,0.0653368383756972,0,0,-0.8735724826620402,2
1,2,0,-0.48810461610079564,1,1,1.3937672641553773,0
0,3,1,0.3420575656139436,0,0,-0.8207822673694345,1
